num.new.disc_00,num.new.disc_01,num.new.disc_02,num.new.disc_03,num.new.disc_04,num.new.disc_05,num.new.disc_06,num.new.disc_07,burstiness_00,burstiness_01,burstiness_02,burstiness_03,burstiness_04,burstiness_05,burstiness_06,burstiness_07,number.total.disc_00,number.total.disc_01,number.total.disc_02,number.total.disc_03,number.total.disc_04,number.total.disc_05,number.total.disc_06,number.total.disc_07,auth.increase_00,auth.increase_01,auth.increase_02,auth.increase_03,auth.increase_04,auth.increase_05,auth.increase_06,auth.increase_07,atomic.containers_00,atomic.containers_01,atomic.containers_02,atomic.containers_03,atomic.containers_04,atomic.containers_05,atomic.containers_06,atomic.containers_07,num.displays_00,num.displays_01,num.displays_02,num.displays_03,num.displays_04,num.displays_05,num.displays_06,num.displays_07,contribution.sparseness_00,contribution.sparseness_01,contribution.sparseness_02,contribution.sparseness_03,contribution.sparseness_04,contribution.sparseness_05,contribution.sparseness_06,contribution.sparseness_07,avg.auths.per.disc_00,avg.auths.per.disc_01,avg.auths.per.disc_02,avg.auths.per.disc_03,avg.auths.per.disc_04,avg.auths.per.disc_05,avg.auths.per.disc_06,avg.auths.per.disc_07,num.authors.topic_00,num.authors.topic_01,num.authors.topic_02,num.authors.topic_03,num.authors.topic_04,num.authors.topic_05,num.authors.topic_06,num.authors.topic_07,avg.disc.length_00,avg.disc.length_01,avg.disc.length_02,avg.disc.length_03,avg.disc.length_04,avg.disc.length_05,avg.disc.length_06,avg.disc.length_07,attention.level.author_00,attention.level.author_01,attention.level.author_02,attention.level.author_03,attention.level.author_04,attention.level.author_05,attention.level.author_06,attention.level.author_07,attention.level.contrib_00,attention.level.contrib_01,attention.level.contrib_02,attention.level.contrib_03,attention.level.contrib_04,attention.level.contrib_05,attention.level.contrib_06,attention.level.contrib_07,buzz
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,15,560,528,604,490,690,627,624,1256,0,0.045455,0,0,0,0,0,0.018519,0,2,0,0,0,0,0,8,0,2,0,0,0,0,0,8,0,2,0,0,0,0,0,15,0,0.00071,0,0,0,0,0,0.00304,0,0.000102,0,0,0,0,0,0.00092,0
0,0,1,1,0,0,1,1,0,0,0.5,0.333333,0,0,0.5,1,0,0,2,3,0,0,2,1,0,0,3,4,0,0,1,1,0,0,11,14,0,0,17,4,2025,2483,1950,2659,2988,2759,3128,3242,0,0,0.012579,0.019608,0,0,0.012658,0.006173,0,0,9.5,11,0,0,1.5,2,0,0,5,10,0,0,3,2,0,0,31.5,31,0,0,13,4,0,0,0.003788,0.006285,0,0,0.00251,0.001676,0,0,0.002037,0.002105,0,0,0.002787,0.000628,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,229,217,233,247,221,361,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,97,119,123,109,136,174,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0.5,0,0,0,1,0,0,0,2,2,1,0,1,1,0,2,1,0,0,0,1,1,0,4,10,2,2,0,19,3,0,12,1275,1618,1453,1213,1385,1707,1609,2189,0.012195,0.009302,0.006579,0,0.007353,0.009091,0,0.017391,4.5,5,6,0,3,6,0,11.5,4,2,2,0,3,3,0,7,13,14,20,0,19,15,0,21,0.002618,0.001304,0.001379,0,0.001886,0.001816,0,0.005858,0.001603,0.000354,0.000322,0,0.002856,0.000409,0,0.001967,1
15,10,8,9,9,10,11,6,0.75,0.454545,0.444444,0.428571,0.6,0.555556,0.647059,0.428571,20,22,18,21,15,18,17,14,12,14,9,12,11,11,12,5,325,250,214,202,203,231,234,141,14628,15147,13086,13997,14635,17143,18820,17875,0.008514,0.009499,0.007905,0.009009,0.006281,0.006399,0.004055,0.003893,5.35,5.227273,4.5,3.761905,6.466667,5.722222,3,6.428571,38,34,28,38,26,26,38,22,25.9,29.272728,25.777779,24.761906,26.933332,31.5,18.529411,24.928572,0.015794,0.014021,0.013214,0.017707,0.011993,0.012903,0.021469,0.013064,0.023702,0.017519,0.016673,0.014701,0.013952,0.018771,0.020235,0.015795,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,416,397,384,407,388,529,491,571,0,0.011364,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.000822,0,0,0,0,0,0,0,0.000134,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,2,0,2,0,0,302,316,274,310,379,398,371,386,0,0,0.047619,0.047619,0,0.034483,0,0,0,0,12,14,0,8,0,0,0,0,1,2,0,1,0,0,0,0,15,17,0,32,0,0,0,0,0.000758,0.001257,0,0.000718,0,0,0,0,0.000185,0.000301,0,0.000325,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,235,183,243,292,270,278,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,607,662,753,688,810,799,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
