left daughter	right daughter	split var	split point	status	prediction	nodeid	treeid
2	3	num.displays_06	2075	1	NA	1	1
4	5	avg.auths.per.disc_00	2.25	1	NA	2	1
6	7	num.authors.topic_00	15.5	1	NA	3	1
8	9	num.displays_06	1517.5	1	NA	4	1
10	11	atomic.containers_01	9.5	1	NA	5	1
12	13	num.displays_06	4479.5	1	NA	6	1
14	15	attention.level.author_01	0.0136155	1	NA	7	1
16	17	avg.disc.length_06	3.8333335	1	NA	8	1
0	0	NA	0	-1	0	9	1
18	19	num.displays_03	1114.5	1	NA	10	1
20	21	num.authors.topic_04	30	1	NA	11	1
22	23	atomic.containers_01	9.5	1	NA	12	1
24	25	avg.auths.per.disc_05	3.3166665	1	NA	13	1
26	27	num.displays_07	51210	1	NA	14	1
28	29	atomic.containers_00	639	1	NA	15	1
30	31	attention.level.contrib_07	0.0165035	1	NA	16	1
32	33	attention.level.contrib_01	0.0002905	1	NA	17	1
34	35	num.displays_01	820	1	NA	18	1
0	0	NA	0	-1	0	19	1
36	37	num.displays_07	1908.5	1	NA	20	1
0	0	NA	0	-1	1	21	1
38	39	attention.level.contrib_01	0.000768	1	NA	22	1
40	41	num.displays_01	1844.5	1	NA	23	1
42	43	atomic.containers_02	37.5	1	NA	24	1
44	45	num.displays_03	21551.5	1	NA	25	1
46	47	num.displays_07	2548	1	NA	26	1
0	0	NA	0	-1	0	27	1
48	49	avg.auths.per.disc_03	3.131074	1	NA	28	1
0	0	NA	0	-1	1	29	1
50	51	num.displays_06	777.5	1	NA	30	1
0	0	NA	0	-1	1	31	1
52	53	auth.increase_07	16.5	1	NA	32	1
0	0	NA	0	-1	0	33	1
54	55	auth.increase_07	5.5	1	NA	34	1
0	0	NA	0	-1	0	35	1
0	0	NA	0	-1	0	36	1
0	0	NA	0	-1	1	37	1
56	57	num.displays_03	4848	1	NA	38	1
0	0	NA	0	-1	1	39	1
0	0	NA	0	-1	0	40	1
58	59	attention.level.contrib_01	0.0018855	1	NA	41	1
0	0	NA	0	-1	1	42	1
0	0	NA	0	-1	0	43	1
60	61	burstiness_01	0.225	1	NA	44	1
0	0	NA	0	-1	0	45	1
0	0	NA	0	-1	0	46	1
62	63	atomic.containers_01	223.5	1	NA	47	1
0	0	NA	0	-1	1	48	1
64	65	burstiness_03	0.361818	1	NA	49	1
66	67	attention.level.contrib_04	0.0019585	1	NA	50	1
68	69	num.authors.topic_01	0.5	1	NA	51	1
70	71	num.displays_01	1042	1	NA	52	1
0	0	NA	0	-1	1	53	1
72	73	attention.level.contrib_00	0.001473	1	NA	54	1
0	0	NA	0	-1	0	55	1
74	75	num.displays_03	1958	1	NA	56	1
0	0	NA	0	-1	0	57	1
0	0	NA	0	-1	0	58	1
0	0	NA	0	-1	1	59	1
76	77	atomic.containers_00	59.5	1	NA	60	1
78	79	attention.level.author_07	0.007855	1	NA	61	1
80	81	atomic.containers_00	86.5	1	NA	62	1
0	0	NA	0	-1	1	63	1
0	0	NA	0	-1	1	64	1
0	0	NA	0	-1	1	65	1
82	83	attention.level.author_01	0.000456	1	NA	66	1
0	0	NA	0	-1	0	67	1
84	85	contribution.sparseness_03	0.0669645	1	NA	68	1
0	0	NA	0	-1	0	69	1
86	87	num.displays_03	695.5	1	NA	70	1
0	0	NA	0	-1	0	71	1
88	89	number.total.disc_05	4.5	1	NA	72	1
0	0	NA	0	-1	0	73	1
0	0	NA	0	-1	0	74	1
90	91	num.displays_07	2169	1	NA	75	1
92	93	contribution.sparseness_06	0.034296	1	NA	76	1
0	0	NA	0	-1	0	77	1
0	0	NA	0	-1	1	78	1
0	0	NA	0	-1	1	79	1
0	0	NA	0	-1	1	80	1
0	0	NA	0	-1	1	81	1
94	95	auth.increase_07	25.5	1	NA	82	1
0	0	NA	0	-1	0	83	1
96	97	num.displays_01	306.5	1	NA	84	1
0	0	NA	0	-1	1	85	1
0	0	NA	0	-1	0	86	1
0	0	NA	0	-1	0	87	1
98	99	attention.level.contrib_06	2.35e-05	1	NA	88	1
0	0	NA	0	-1	0	89	1
0	0	NA	0	-1	0	90	1
0	0	NA	0	-1	1	91	1
0	0	NA	0	-1	1	92	1
0	0	NA	0	-1	1	93	1
0	0	NA	0	-1	0	94	1
0	0	NA	0	-1	1	95	1
0	0	NA	0	-1	1	96	1
0	0	NA	0	-1	0	97	1
0	0	NA	0	-1	0	98	1
0	0	NA	0	-1	0	99	1
2	3	num.displays_06	2110.5	1	NA	1	2
4	5	attention.level.author_00	0.0004155	1	NA	2	2
6	7	attention.level.author_02	0.005133	1	NA	3	2
8	9	number.total.disc_07	3.5	1	NA	4	2
10	11	attention.level.author_02	0.0007245	1	NA	5	2
12	13	avg.disc.length_03	16.666667	1	NA	6	2
14	15	attention.level.author_04	0.0035865	1	NA	7	2
16	17	num.displays_00	795	1	NA	8	2
0	0	NA	0	-1	0	9	2
18	19	contribution.sparseness_00	0.003726	1	NA	10	2
20	21	num.authors.topic_05	21.5	1	NA	11	2
22	23	attention.level.contrib_00	0.0007815	1	NA	12	2
24	25	avg.auths.per.disc_01	3.1	1	NA	13	2
0	0	NA	0	-1	1	14	2
26	27	avg.auths.per.disc_01	4.369318	1	NA	15	2
28	29	num.displays_06	1366	1	NA	16	2
30	31	number.total.disc_06	1.5	1	NA	17	2
0	0	NA	0	-1	1	18	2
32	33	num.authors.topic_07	27.5	1	NA	19	2
34	35	num.displays_07	1823	1	NA	20	2
0	0	NA	0	-1	1	21	2
36	37	avg.auths.per.disc_05	18.75	1	NA	22	2
38	39	num.displays_07	3816.5	1	NA	23	2
40	41	num.displays_00	3161.5	1	NA	24	2
42	43	atomic.containers_06	29.5	1	NA	25	2
0	0	NA	0	-1	1	26	2
44	45	num.displays_00	1835	1	NA	27	2
46	47	auth.increase_02	10.5	1	NA	28	2
0	0	NA	0	-1	0	29	2
48	49	num.displays_06	1553	1	NA	30	2
0	0	NA	0	-1	0	31	2
50	51	num.displays_07	1356	1	NA	32	2
0	0	NA	0	-1	1	33	2
52	53	num.displays_03	1740	1	NA	34	2
0	0	NA	0	-1	1	35	2
54	55	contribution.sparseness_02	0.0093025	1	NA	36	2
0	0	NA	0	-1	1	37	2
0	0	NA	0	-1	1	38	2
0	0	NA	0	-1	1	39	2
0	0	NA	0	-1	0	40	2
0	0	NA	0	-1	1	41	2
56	57	number.total.disc_06	1.5	1	NA	42	2
0	0	NA	0	-1	0	43	2
0	0	NA	0	-1	0	44	2
58	59	auth.increase_07	0.5	1	NA	45	2
60	61	atomic.containers_07	189	1	NA	46	2
0	0	NA	0	-1	0	47	2
62	63	avg.auths.per.disc_01	49.5	1	NA	48	2
0	0	NA	0	-1	0	49	2
64	65	avg.disc.length_02	120.5	1	NA	50	2
0	0	NA	0	-1	0	51	2
66	67	atomic.containers_01	204.5	1	NA	52	2
0	0	NA	0	-1	1	53	2
68	69	num.displays_02	1792.5	1	NA	54	2
0	0	NA	0	-1	0	55	2
0	0	NA	0	-1	1	56	2
0	0	NA	0	-1	1	57	2
0	0	NA	0	-1	0	58	2
70	71	avg.disc.length_05	28.3385965	1	NA	59	2
72	73	num.authors.topic_03	19.5	1	NA	60	2
0	0	NA	0	-1	1	61	2
74	75	contribution.sparseness_07	0.0145995	1	NA	62	2
0	0	NA	0	-1	1	63	2
76	77	contribution.sparseness_06	0.0154645	1	NA	64	2
0	0	NA	0	-1	0	65	2
78	79	avg.auths.per.disc_02	1.25	1	NA	66	2
0	0	NA	0	-1	1	67	2
0	0	NA	0	-1	0	68	2
0	0	NA	0	-1	1	69	2
80	81	contribution.sparseness_06	0.033421	1	NA	70	2
82	83	burstiness_02	0.386752	1	NA	71	2
84	85	auth.increase_03	1.5	1	NA	72	2
0	0	NA	0	-1	0	73	2
86	87	auth.increase_06	1.5	1	NA	74	2
0	0	NA	0	-1	0	75	2
88	89	attention.level.contrib_03	0.0030485	1	NA	76	2
0	0	NA	0	-1	0	77	2
0	0	NA	0	-1	1	78	2
90	91	attention.level.author_00	0.0004285	1	NA	79	2
