"field_name","note","field_keys","field_values","table"
"RT","Record Type","H","Housing Record or Group Quarters Unit","hus"
"SERIALNO","Housing unit/GQ person serial number","0000001..9999999","Unique identifier","hus"
"DIVISION","Division code based on 2010 Census definitions","0","Puerto Rico","hus"
"DIVISION","Division code based on 2010 Census definitions","1","New England (Northeast region)","hus"
"DIVISION","Division code based on 2010 Census definitions","2","Middle Atlantic (Northeast region)","hus"
"DIVISION","Division code based on 2010 Census definitions","3","East North Central (Midwest region)","hus"
"DIVISION","Division code based on 2010 Census definitions","4","West North Central (Midwest region)","hus"
"DIVISION","Division code based on 2010 Census definitions","5","South Atlantic (South region)","hus"
"DIVISION","Division code based on 2010 Census definitions","6","East South Central (South region)","hus"
"DIVISION","Division code based on 2010 Census definitions","7","West South Central (South Region)","hus"
"DIVISION","Division code based on 2010 Census definitions","8","Mountain (West region)","hus"
"DIVISION","Division code based on 2010 Census definitions","9","Pacific (West region)","hus"
"PUMA","Public use microdata area code (PUMA) based on 2010 Census definition","00100..70301","Public use microdata area codes","hus"
"REGION","Region code based on 2010 Census definitions","1","Northeast","hus"
"REGION","Region code based on 2010 Census definitions","2","Midwest","hus"
"REGION","Region code based on 2010 Census definitions","3","South","hus"
"REGION","Region code based on 2010 Census definitions","4","West","hus"
"REGION","Region code based on 2010 Census definitions","9","Puerto Rico","hus"
"ST","State Code based on 2010 Census definitions","01","Alabama/AL","hus"
"ST","State Code based on 2010 Census definitions","02","Alaska/AK","hus"
"ST","State Code based on 2010 Census definitions","04","Arizona/AR","hus"
"ST","State Code based on 2010 Census definitions","05","Arkansas/AR","hus"
"ST","State Code based on 2010 Census definitions","06","California/CA","hus"
"ST","State Code based on 2010 Census definitions","08","Colorado/CO","hus"
"ST","State Code based on 2010 Census definitions","09","Connecticut/CT","hus"
"ST","State Code based on 2010 Census definitions","10","Delaware/DE","hus"
"ST","State Code based on 2010 Census definitions","11","District of Columbia/DC","hus"
"ST","State Code based on 2010 Census definitions","12","Florida/FL","hus"
"ST","State Code based on 2010 Census definitions","13","Georgia/GA","hus"
"ST","State Code based on 2010 Census definitions","15","Hawaii/HI","hus"
"ST","State Code based on 2010 Census definitions","16","Idaho/ID","hus"
"ST","State Code based on 2010 Census definitions","17","Illinois/IL","hus"
"ST","State Code based on 2010 Census definitions","18","Indiana/IN","hus"
"ST","State Code based on 2010 Census definitions","19","Iowa/IA","hus"
"ST","State Code based on 2010 Census definitions","20","Kansas/KS","hus"
"ST","State Code based on 2010 Census definitions","21","Kentucky/KY","hus"
"ST","State Code based on 2010 Census definitions","22","Louisiana/LA","hus"
"ST","State Code based on 2010 Census definitions","23","Maine/ME","hus"
"ST","State Code based on 2010 Census definitions","24","Maryland/MD","hus"
"ST","State Code based on 2010 Census definitions","25","Massachusetts/MA","hus"
"ST","State Code based on 2010 Census definitions","26","Michigan/MI","hus"
"ST","State Code based on 2010 Census definitions","27","Minnesota/MN","hus"
"ST","State Code based on 2010 Census definitions","28","Mississippi/MS","hus"
"ST","State Code based on 2010 Census definitions","29","Missouri/MO","hus"
"ST","State Code based on 2010 Census definitions","30","Montana/MT","hus"
"ST","State Code based on 2010 Census definitions","31","Nebraska/NE","hus"
"ST","State Code based on 2010 Census definitions","32","Nevada/NV","hus"
"ST","State Code based on 2010 Census definitions","33","New Hampshire/NH","hus"
"ST","State Code based on 2010 Census definitions","34","New Jersey/NJ","hus"
"ST","State Code based on 2010 Census definitions","35","New Mexico/NM","hus"
"ST","State Code based on 2010 Census definitions","36","New York/NY","hus"
"ST","State Code based on 2010 Census definitions","37","North Carolina/NC","hus"
"ST","State Code based on 2010 Census definitions","38","North Dakota/ND","hus"
"ST","State Code based on 2010 Census definitions","39","Ohio/OH","hus"
"ST","State Code based on 2010 Census definitions","40","Oklahoma/OK","hus"
"ST","State Code based on 2010 Census definitions","41","Oregon/OR","hus"
"ST","State Code based on 2010 Census definitions","42","Pennsylvania/PA","hus"
"ST","State Code based on 2010 Census definitions","44","Rhode Island/RI","hus"
"ST","State Code based on 2010 Census definitions","45","South Carolina/SC","hus"
"ST","State Code based on 2010 Census definitions","46","South Dakota/SD","hus"
"ST","State Code based on 2010 Census definitions","47","Tennessee/TN","hus"
"ST","State Code based on 2010 Census definitions","48","Texas/TX","hus"
"ST","State Code based on 2010 Census definitions","49","Utah/UT","hus"
"ST","State Code based on 2010 Census definitions","50","Vermont/VT","hus"
"ST","State Code based on 2010 Census definitions","51","Virginia/VA","hus"
"ST","State Code based on 2010 Census definitions","53","Washington/WA","hus"
"ST","State Code based on 2010 Census definitions","54","West Virginia/WV","hus"
"ST","State Code based on 2010 Census definitions","55","Wisconsin/WI","hus"
"ST","State Code based on 2010 Census definitions","56","Wyoming/WY","hus"
"ST","State Code based on 2010 Census definitions","72","Puerto Rico/PR","hus"
"ADJHSG","Adjustment factor for housing dollar amounts (6 implied decimal places)","1000000","2016 factor (1.000000)","hus"
"ADJINC","Adjustment factor for income and earnings dollar amounts(6 implied decimal places)","1007588","2016 factor(1.007588)","hus"
"WGTP","Housing Weight","00000","Group Quarters place holder record","hus"
"WGTP","Housing Weight","00001..09999","Integer weight of housing unit","hus"
"NP","Number of person records following this housing record","00","Vacant unit","hus"
"NP","Number of person records following this housing record","01","One person record (one person in household or any person in group quarters)","hus"
"NP","Number of person records following this housing record","02..20","Number of person records (number of persons in household)","hus"
"TYPE","Type of unit","1","Housing unit","hus"
"TYPE","Type of unit","2","Institutional group quarters","hus"
