week,Caco2A2BPapp,FractionHumanAbsorption
1,6.06192381877277e-05,0.0876841592927288
2,5.77461406233902e-05,0.141631961479223
3,5.77461406233902e-05,0.111469671256359
4,5.5055868271476e-05,0.0703619739971885
5,5.5055868271476e-05,0.188723462687315
6,5.5055868271476e-05,0.216212854200162
7,5.46194072373383e-05,0.199478926199033
8,5.37062274035677e-05,0.166394668039137
9,5.37062274035677e-05,0.207487146197254
10,5.37062274035677e-05,0.102176557603471
11,5.30451141419193e-05,0.275983771610248
12,5.24760995783791e-05,0.255136137738042
13,5.24760995783791e-05,0.274012027830005
14,5.24760995783791e-05,0.364481092300588
15,5.24760995783791e-05,0.364525753044864
16,5.24415113160713e-05,0.37830282248379
17,5.24415113160713e-05,0.216897496691208
18,5.06286642857895e-05,0.419206558097828
19,5.06286642857895e-05,0.333456279845885
20,4.99418893777915e-05,0.376976351700947
21,4.93689479303574e-05,0.39798944060901
22,4.93689479303574e-05,0.379460251816503
23,4.93689479303574e-05,0.519000625204355
24,4.69626676733734e-05,0.469048500376835
25,4.12597142817222e-05,0.453396728383428
26,4.12597142817222e-05,0.456473625462579
27,4.12597142817222e-05,0.46694158592037
28,4.06617106673254e-05,0.401730000131096
29,4.06617106673254e-05,0.529631239827579
30,3.87454631248876e-05,0.522206734040792
31,3.38325992906876e-05,0.616918165967741
32,3.23111444911222e-05,0.548355539877803
33,3.23111444911222e-05,0.652672796356278
34,2.89436049321106e-05,0.577515774656324
35,2.89436049321106e-05,0.699387890143481
36,2.65460606205885e-05,0.612425846249655
37,2.65460606205885e-05,0.790713908449985
38,2.65460606205885e-05,0.68056247818338
39,2.43918772984004e-05,0.824228418050451
40,2.43918772984004e-05,0.711773666581354
41,2.32347103662563e-05,0.705921803558285
42,2.32347103662563e-05,0.826483871453565
43,2.32347103662563e-05,0.79888829671868
44,2.32347103662563e-05,0.789048444277797
45,2.24801597195764e-05,0.812921724787192
46,2.24801597195764e-05,0.888532115774061
47,2.24801597195764e-05,0.858619883873323
48,2.24801597195764e-05,0.895550445640859
49,2.11411247904581e-05,0.855348395799488
50,2.11411247904581e-05,0.907868135669758
51,1.80580305069188e-05,0.892300923897481
52,1.44580469433126e-05,0.880987455404335
53,1.44580469433126e-05,0.874771551807601
54,1.44580469433126e-05,0.95008980989034
55,1.39549612156167e-05,0.902925098534019
56,1.39549612156167e-05,0.964371568732082
57,1.37805820692001e-05,0.918866640893162
58,1.37805820692001e-05,0.933546577329066
59,1.00372749938247e-05,0.92601890054995
60,7.42949277471595e-06,0.921811855003519
61,7.42949277471595e-06,0.947043340252437
62,7.42949277471595e-06,0.965783624181632
63,6.87337533693986e-06,0.950273182070639
64,6.87337533693986e-06,0.941389095770425
65,4.40230769981921e-06,0.964936000092327
66,4.40230769981921e-06,0.945111204112903
67,4.40230769981921e-06,0.962562130295576
68,3.18480875206715e-06,0.936368861748366
69,3.18480875206715e-06,0.972149195414065
70,2.83159762390305e-06,0.959512465905401
71,1.33673218376408e-06,0.936647644509469
72,1.33673218376408e-06,0.968756334181273
73,1.16273763553492e-06,0.947160604762931
74,1.16273763553492e-06,0.955181089812574
75,1.16273763553492e-06,0.950642594815852
76,1.16273763553492e-06,0.947995542981401
77,1.00498097260338e-06,0.970433474901293
78,1.00498097260338e-06,0.960421153824165
79,7.43912120412779e-07,0.967827745679347
80,6.93270651483303e-07,0.927644251187443
81,5.19743471766041e-07,0.969108752133388
82,4.62319017794462e-07,0.968770131961155
83,3.72601406850083e-07,0.958053331748545
84,3.24254752699802e-07,0.962061004526451
85,1.44628141237096e-07,0.951683477304773
86,1.44628141237096e-07,0.948045825485958
87,1.28988476643174e-07,0.96871920815806
88,1.28988476643174e-07,0.959371278766575
89,1.28988476643174e-07,0.960585657972992
90,1.2053644949804e-07,0.982816965027811
91,1.08253915843837e-07,0.969726854039756
92,1.08253915843837e-07,0.974877919921214
93,1.08253915843837e-07,0.978495854052731
94,1.07537436153647e-07,0.980758239452722
95,9.11867391309851e-08,0.965442557760018
96,9.11867391309851e-08,0.988839207631952
97,9.11867391309851e-08,0.976498003999743
98,7.19262120384266e-08,0.95980457290966
99,7.19262120384266e-08,0.99166555238746
100,6.99386724464744e-08,0.98121674078392
