week,Caco2A2BPapp,FractionHumanAbsorption
1,6.06192381877277e-05,0.115945372217123
2,6.06192381877277e-05,0.117590757998152
3,6.06192381877277e-05,0.0936887338703914
4,6.06192381877277e-05,0.129224684905375
5,5.46194072373383e-05,0.190602031286811
6,5.37062274035677e-05,0.149235320596973
7,5.30451141419193e-05,0.121127123470978
8,5.24760995783791e-05,0.148558666099392
9,5.24760995783791e-05,0.177327148563709
10,5.06286642857895e-05,0.156776898400553
11,5.06286642857895e-05,0.314005866063537
12,4.99418893777915e-05,0.145714893039902
13,4.99418893777915e-05,0.243378055747952
14,4.99418893777915e-05,0.213679957621397
15,4.99418893777915e-05,0.221032050854239
16,4.93689479303574e-05,0.267935550121268
17,4.89475934147353e-05,0.279169694859406
18,4.89475934147353e-05,0.304976790664132
19,4.89475934147353e-05,0.505885892294172
20,4.65421186658942e-05,0.419813444548945
21,4.65421186658942e-05,0.41593904692292
22,4.65421186658942e-05,0.416465921251011
23,4.54696582295531e-05,0.341261635847483
24,4.47368342557823e-05,0.467447788230454
25,4.47368342557823e-05,0.54015249560479
26,4.15913773911468e-05,0.498416295197222
27,4.15913773911468e-05,0.620312492253683
28,4.06617106673254e-05,0.59334559589715
29,3.96593247615725e-05,0.69734491615892
30,3.87454631248876e-05,0.715964053349278
31,3.55862249871599e-05,0.536453753496414
32,3.55862249871599e-05,0.691370724463929
33,2.43918772984004e-05,0.453131448563699
34,2.43918772984004e-05,0.738665444675943
35,2.41688954662559e-05,0.619139157320558
36,2.32347103662563e-05,0.664087516475111
37,2.11411247904581e-05,0.759025582479487
38,2.11411247904581e-05,0.848210675509127
39,2.11411247904581e-05,0.696184633649146
40,1.80580305069188e-05,0.678633205366291
41,1.80580305069188e-05,0.767589309125677
42,1.79841920621765e-05,0.751018881686837
43,1.79841920621765e-05,0.73826435076899
44,1.79841920621765e-05,0.853431868831609
45,1.39549612156167e-05,0.783763196784099
46,1.37805820692001e-05,0.804880105010536
47,1.37805820692001e-05,0.87887300915765
48,1.37805820692001e-05,0.846548866369918
49,1.37805820692001e-05,0.773172735848281
50,1.37805820692001e-05,0.912865036823044
51,1.37805820692001e-05,0.925503233014628
52,1.37805820692001e-05,0.918480720257621
53,1.00372749938247e-05,0.885946685886666
54,8.89178776411105e-06,0.905566108191304
55,8.89178776411105e-06,0.806515922840965
56,7.42949277471595e-06,0.927753733427502
57,7.42949277471595e-06,0.920645192873644
58,6.87337533693986e-06,0.92479033468394
59,4.40230769981921e-06,0.937316242341314
60,3.18480875206715e-06,0.927118249462367
61,3.18480875206715e-06,0.931028001642322
62,3.18480875206715e-06,0.860026268325468
63,2.83159762390305e-06,0.938896161140834
64,2.83159762390305e-06,0.914163696346749
65,2.83159762390305e-06,0.928414680200437
66,2.83159762390305e-06,0.934435622300704
67,1.79812278757771e-06,0.913082828440146
68,1.79812278757771e-06,0.948814154557133
69,1.79812278757771e-06,0.939615064160848
70,1.33673218376408e-06,0.930746608828323
71,1.33673218376408e-06,0.931542160904279
72,1.33673218376408e-06,0.93417990465979
73,1.00498097260338e-06,0.904786643285371
74,7.43912120412779e-07,0.932017697099357
75,7.43912120412779e-07,0.931659344047677
76,6.93270651483303e-07,0.954025694539396
77,6.93270651483303e-07,0.94120781880113
78,6.08394655221838e-07,0.958696875416202
79,3.72601406850083e-07,0.933160686932823
80,3.72601406850083e-07,0.959615517446436
81,2.71350977837363e-07,0.934984783048422
82,2.23082488116921e-07,0.968922077887663
83,2.23082488116921e-07,0.946181157339898
84,1.62416317551769e-07,0.971786652255052
85,1.62416317551769e-07,0.94775206904648
86,1.62416317551769e-07,0.947550971914107
87,1.44628141237096e-07,0.971287543767817
88,1.28988476643174e-07,0.963824282386633
89,1.28988476643174e-07,0.961667087008157
90,1.2053644949804e-07,0.966264587788224
91,1.08253915843837e-07,0.98031235257367
92,1.08253915843837e-07,0.974317308768916
93,1.08253915843837e-07,0.981671147179709
94,1.08253915843837e-07,0.974417536146066
95,1.07537436153647e-07,0.98443909061457
96,1.07537436153647e-07,0.982921502731697
97,9.11867391309851e-08,0.981453726970505
98,6.99386724464744e-08,0.977645713997079
99,6.99386724464744e-08,0.991679168853188
100,6.99386724464744e-08,0.983409101263984
